"username","dates","location","review","rating","useful","funny","cool"
"Maria B.","3/24/2014","Washington, DC","This was just so perfect, I'm hesitant to describe it too much because I won't do it justice. Just take the 5 star review, all your money, and go. This is such a cool location on the Georgetown waterfront, but away from the main drag and all the summer drunks. They really did it justice with the buildout. It feels very open and simple but still upscale. I can't wait to sit on the patio once the weather is nice.The service was fantastic. As you expect from a place like this, I must have gone through 10 silverware setups and the table was wiped down between courses, but that's really not what made the service special. It was the ease with which our server (and the entire team that worked with her) let herself into our meal just enough to be pleasant and upbeat and beyond knowledgeable, but made it not about her or her personality or her script. She let the food do the talking, and talk it did. I had just about everything on the menu... That's not an exaggeration, we were at the chef's table and had course after course of deliciousness. I can say without equivocation that there was not a single sub-par dish, but more than that, everything was inventive and fresh and just top notch. This is a chef who knows about acid. I won't go through everything but do have a few highlights. Order the frutti di mare... their seafood is fresh and flavorful and at a place like this, how can you not get the sampler platter?!I would order the hamachi every single time I come here. It was that good. Fresh, unexpected and really a perfect bite, but if you're not into a super fishy taste just eat it without the roe. The same with the burrata salad. WOW. I have never never had burrata this good outside of Italy and it paired perfectly with the cucumber salad and all the other goodness in that bowl. I'd come back for dinner at the bar and just order that and a glass of wine... but that would be a mistake because everything else is just so fantastic. The pasta is what you'd expect from Fabio Trabbochi. In a word: perfect. The actual pasta really stands out - the dishes are perfectly sauced. Order the Lobster Ravioli and any of the other pastas. I'd eat the cavatelli every night if I could. They fillet the fish right at your table. The chef and the servers are happy to suggest which to order. I loved the dorade and black cod. Save room, if at all possible, for the bomboloni, which are powdered ricotta donut holes, and the rum cake. If you have to choose one, the rum cake is the winner. Spumoni was fabulous too and if i were coming back in the summer, that would be my one thing I'd order for dessert.",5,7,1,4
"Mila M.","3/24/2014","Portland, OR","I want to give Fiola Mare the five stars it deserves, but our experience fell short. The food was flawless -- lobster ravioli and the risotto were wonderful and well-worth the $30-$35 pricetags. However, the service fell very flat. We went through several servers, none of which seemed to warm him or herself up to us, so we didn't even know who we ended up tipping. We were also overcharged for our dinner bill -- our servers didn't communicate the two drinks we had at the bar while waiting for our table had already been paid for. The admin staff was easy to work with regarding resolving this problem.Truly a wonderful experience especially on a sunny, warm day, but beware of slow service and overcharges.",3,0,0,0
"Mali A.","3/28/2014","McLean, VA","About time to have a nice restaurant on the waterfront. The food was fantastic special the Lobster Ravioli but the portions for the price was very small. After paying about $500 for dinner, my friend left the restaurant complaining that after having salad, main course(fish) and dessert, she was kind of hungry.",4,0,0,0
"Sholeh S.","3/29/2014","Great Falls, VA","Made reservations from 3 weeks before they opened up on Open Table.  Specified that it was a dear friends birthday.  We were seated 20 minutes late because they wouldn't give us the table we wanted.  They said that it was reserved, meanwhile no one was sitting there.  Also they specified they can only take requests but not guarantee it.  Make that kind of exception for your guests not a good way to start.  They did try to please us after 20 minutes wait.  Gave us a table for 4 and cramped 5 of us on it.  Service is slow.  We sat for another 15 minutes before wine and bread came along. We paid $600 for 5 people and couple of us left hungry.  A restaurant with a great location and breath taking view, so if money is not an issue go there but request a table with water view because you just might get it if you are lucky and you know the owner.  :)",3,2,0,0
"Stephanie B.","3/30/2014","Rockville, MD","It just didn't live up to expectations for a $$$$ restaurant.  Service was very SLOW.  Two hours for one round of cocktails, oysters, a prosecco sorbet amuse busche, pasta entrees, and dessert.  To their credit, dessert was gratis for the slow service.Highlight of the meal was my husband's scallop and ravioli in a foie gras sauce.  Yum!  Bread was never served, but we ended up asking for it to soak up that sauce.The staff wasn't terribly familiar with the three types of oysters available that evening, stating that they change nightly.  Bummer, considering we dropped nearly $60 on oysters.  It made me miss Farrallon, San Francisco, another high end seafood restaurant that has done a much better job recommending oysters from a selection of about 10.If you're looking to not drop a crazy amount of $$$$, avoid the cocktails.  They come in very small martini glasses for $14.  You may be better off getting a glass of wine instead.  Also, valet is $20.  We parked ourselves in the garage for $12; the restaurant doesn't validate.Bottom line:  not a bad place for a super special date night or to hob knob with DC's elite.  Could have sworn I saw a Supreme Court Justice dining there.  We should have come before our 7:30 seating for a better view of the Potomac.  Overall quality of the food was disappointing for the price.",3,2,0,0
"Michael H.","3/30/2014","Chapel Hill, NC","My wife said it best: We have been fortunate to dine at many great restaurants across the country, Fiola Mare was a cut above.  Everything was perfect.  Services was impeccable, three different people helped serve us and each was excellent.  We are already looking forward to returning.",5,0,0,0
"Anne P.","3/31/2014","Washington, DC","I would give this restaurant zero stars if possible. The owner was quite rude. I came with my daughter for a table for 2 at 7:30pm and despite the empty tables and the dining area being only half full, was told that there were no reservations until 9:30pm. I went on OpenTable and promptly made a reservation for 8pm (and there were tables available for 8:15, 8:45, 9, etc.). When I went back and told them that, quite clearly, they had reservations available, I was given no good explanation and was completely brushed off, nor seated, even though I now had a reservation. A restaurant that refuses to honor its reservations or seat walk-ins will not be in business long. I am a lawyer in town and I will never bring clients, colleagues, or friends to a place with such horrible customer service. There are plenty of other places to take our expense account.",1,17,7,3
"Jason T.","4/1/2014","Washington, DC","We did brunch here on a recent rainy Saturday and really enjoyed the food. We sat on the enclosed sundeck, which affords sweeping views of the Potomac and had some delicious food. The Brut Rose is $4 cheaper during brunch than during dinner -- and was quite tasty. It was a perfect compliment to the rich food served. We had the brunch special -- which included ricotta pear honey toast with shrimp and grits. Both were excellent and really tasty. We also had the incredibly tasty lobster ravioli (where you get three raviolis stuffed with claw and tail meat, plus on the side you get the other claw and a half tail - making it a whole lobster). We finished off the meal with a Tahitian vanilla cake that was served warm and was equally tasty. Overall, a great meal and we'll be sure to return.",4,3,0,0
"A K.","4/6/2014","Chicago, IL","Perfection from start to finish! I had an incredible lunch here with my Mother and can't wait to go back for dinner. I live a block away from Washington Harbor and never eat there due to the crowds. Fiola Mare has a completely different vibe than the rest of the waterfront. The restaurant is beautiful, with understated nautical decor and lots of marble. Service is absolutely impeccable. Every course was delicious, but the lobster ravioli is among the best I've had anywhere. I'm thrilled Fabio Trabocchi finally has a restaurant in Georgetown and I'm looking forward to being a frequent guest. Very highly recommended!",5,4,0,1
"Craig H.","4/13/2014","Washington, DC","If your roots go back far enough in Dc to the 50's and before, the best places to eat were along the southwest waterfront.  That neighborhood of course went downhill until just recently and the few remaining places cater to the tourist crowd.  Finally, fine dining returns with a view.Fiola Mare shares many of the characteristics with its parent restaurant.  The flavors are amazingly deep and rich.  The ingredients are fresh and expertly combined to produce beautiful meals.  The decor is warm and inviting inside with the river and the rising lights of Arlington in the backdrop.  We had a tuna carppacio which was amazing. My olive oil poached cod was the biggest, whitest, flakiest, and best prepared cod I've had and the flavors of my wife's gnocchi with halibut can't be described.The service was very good though to be in the league Fiola Mare is aiming for they need to ramp things up just a notch.  After enjoying a piece of bread, waiters assistant #1 comes by and asks if we would like more bread.  We say no and he picks up the bread plates and butter.  A couple minutes later waiters assistant #2 comes by and gives us new bread plates, bread, and butter.  There were a few other such minor mix ups.  Not enough to mess up the dinner but enough to say they need to keep training the staff.  We also waited probably 20 minutes for our car even though the valet was not busy.  Okay on a beautiful spring night but...This could easily be our new DC favorite.",5,0,0,0
"Filipe P.","4/13/2014","Toronto, Canada","The kitchen is fast, and the plates are sophisticated! Make sure to ask their great macaroons with your coffee",4,0,0,0
"C B.","4/20/2014","Washington, DC","Perfect brunch from start to finish!My husband and I dined at Fiola Mare and it was  one of the best dining experiences we have had in DC. The service was spot on (Daniel M.), the staff were friendly, the atmosphere was  great and the food was amazing.This is definitely our new favorite spot and I would highly recommend it. Well done Fiola Mare!",5,1,0,0
"Maria-Elena T.","4/20/2014","Arlington, VA","Fiola mareFour of us dined on a Saturday night.  We were seated about 3 tables from the window and had no view. Actually it seemed that the ratio of tables that actually have a view would be low. We started at 8pm and ended our dinner 4 hours later. We did not order all 4 courses at once but purposely ordered each course when we were finished the previous one so as not to be rushed. I had the dirty martini and they made blue cheese stuffed olives for me. For an appetizer, I got the sardines grilled off the market section of the menu. Amazing! Light. Fresh. I would get them again. One person got the burrata cheese which he thought was not as described in the menu. The cheese itself was delicious, maybe even the best I've ever tasted. And the portion was a large size. Another person got the crab salad which was good and picture perfect.  For our next course we all did pastas. I ordered the half order of the clams and spaghetti. I was highly disappointed. It said it was like the Amalfi Coast.  I ordered this dish on the Amalfi Coast and do not recall it having tomatoes. The menu did not mention that it came with tomatoes. It was ok but the tomatoes bring a whole different flavor. The other three got different pastas. As the Yelp! reviews indicate, the lobster ravioli was the best dish during the pasta course.I planned to have the Branzino for my main course but I still did not feel pasta satisfied. Since there were 5 pastas on the menu, and we had ordered four of them, one was still left to order. I ordered it- the tagliatelli with prawns and sea urchin. This dish was absolutely delicious. I loved it. I ordered a half order but it seems the kitchen made it bigger. Jennifer helped us with our wine selections from my order by the glass to the bottle we ordered. Her knowledge of the Italian wine regions and grapes was impressive. She also said expect the wine selection to triple in the next 2 months. For dessert I got the lemon tart. It was cool looking with gold leaf on top and served with coconut ice cream. One person got the pistachio ice cream. It was so good she ordered another scoop. This is a must order! Our waiter was good; he obviously was not used to people ordering a course at a time. The bill was pure sticker shock. We all checked it, more than once. Unfortunately it was correct - it was over $700. Also we had a star siting - TV personality Kristen Welker was dining 2 tables away.",4,0,0,0
"Sarah K.","4/23/2014","Silver Spring, MD","I ate at Fiola Mare with 5 of my coworkers today and I was truly impressed. We got there at noon and the restaurant wasn't too busy which was nice since we got seated at a table with a great view of the water. All the staff was very nice and friendly, especially our server (Adam). The food was delicious and they have us all complimentary dessert! It's a little pricey but I don't mind paying more for great food and atmosphere. I had tuna tartare, gazpacho (which came with a plate of assorted breads), and the scallops. It was all really good but the scallops were my favorite. The dessert was also really good...it had olive oil cake and ice cream in it but I don't know the name since it was comped. I'll definitely be returning here in the future. P.S.- The faucets in the bathroom have a built in hand dryer...if that's not the coolest thing ever I don't know what is.",5,0,0,0
"Erica Y.","4/26/2014","Rockville, MD","How can you not give this place a five star? The lobster ravioli alone deserve 5 stars!  We came here for brunch but glad we tried their pastas instead of the normal brunch fare.  Their normal prefixe brunch is now $34 (was $28) which comes with one mimosa, an appetizer (usually some sort of bruschetta), an entree (shrimp and grits) and any dessert. It's a good deal but seafood and pasta is what makes this place awesome so you gotta have pasta here!  There are four pastas on the brunch menu and between the two of us we tried three.  We got half portions of Sardinian cavatelli, tagliatelle and lobster ravioli. Basically for half portion they charge you half the price of full portion plus $3.  Sardinian cavatelli is surprisly flavorful for a vegetarian pasta, tagliatelle the sauce is to die for with the sea urchins mixed in.  However the big prawn on top is undercooked (on purpose) and I'm not big on shrimp undercooked as it tasted too fishy for me. But I would eat the pasta part again no question!  I don't know what else to say about lobster ravioli that hasn't been said already...just order it, savor it, and immediately looking forward to the next time you can eat it.  It's amazing and pure joy to taste!Restaurant is beautiful and amazing view.  Service is good, and one waiter (not sure if he's one of the waiter or a supervisor or manager, he's got an accent, British maybe?) is just beyond great.  He went above and beyond to make the experience memorable for us.  I sure hope we get him next time too.Seriously, already planning my next meal there!",5,0,0,0
"Meredith D.","4/29/2014","Alexandria, VA","My boyfriend and I dined here last night to celebrate my birthday. We had 8 pm reservations and had planned to walk along the waterfront in (hopefully) nice spring weather, but rain made us rethink our plan. We showed up at the hostess stand at 6:30 and were swiftly seated, even though we were an hour and a half early! Our table wasn't directly next to the window, but did have a nice view of the river. The decor is sleek, elegant, and timeless. We were seated near shelves scattered with charming black and white photos of the chef's family and the Italian Marche coastline of his boyhood.We ordered two cocktails to start--his standard Beefeater martini, and the delicious Sapore Vero--Redemption Rye with Carpano Bianco Vermouth, Amaro Montenegro, and Luxardo Maraschino (basically a more complex Manhattan); it was fantastic. We had the interesting Sicilian Occhipinti Bianco ""SP68"" with our meal. It was bright, light, and refreshing, with distinctly floral notes that really went well with our delicate seafood dishes. We had the Hamachi Sashimi as a starter. Divine! It was served with wild ginger, lime and radish, and sprinkling of pansies. Without asking, they had divided and (beautifully) plated it on two dishes, which was perfect as we were sharing. This may have been my very favorite dish of the evening, as its simple preparation allowed the fresh flavor of the fish to totally shine.Next we shared two half orders of pasta--the famed Maine lobster ravioli, and the smoked potato gnocchi with diver scallops, ramps, charred spring onions, parsley and lemon. The lobster ravioli is a generous serving of lobster claw and tail meat over two delicate ravioli stuffed with even more lobster in ginger butter. It is (as many other reviewers have commented) exceptional, but incredibly rich. Each of us had one plump ravioli and several more bites of lobster, and it was perfectly done. But for me, that was more than enough. We wondered aloud if anyone actually ordered a full order and finished it--it was just too rich to want more than a few bites. The gnocchi was surprisingly complex, with the sweetness of the ramps offering added complexity to the dish. The two large scallops were perfectly prepared. I preferred this to the ravioli.My boyfriend ordered the Wild Turbot with olive oil crushed smoked potato, charred spring onions and Bolgheri Olive Oil. My Dover Sole was filleted table-side (a seemingly lost art, but a nice touch). It was served with grilled lemon, black olive salt, salsa verde, and fennel aioli. I ended up preferring it with a simple drizzle of the grilled lemon (which was a decidedly different taste from regular lemon), and swiped some of the charred spring onion from the other dish to accompany my own. We shared a side of blistered Shishito peppers, but I think the sauteed spinach with Meyer lemon would probably have been a better complement to the Sole.Because our server knew it was my birthday, she brought out a complimentary chocolate dessert sprinkled with gold leaf and topped with a candle, along with a card signed by chef Trabocchi thanking me for spending my birthday with them. It was a lovely touch! I don't think this particular dessert was on the menu, but it was a wonderful--three layers of chocolate. This was before even seeing the dessert menu!The desserts were incredibly tempting, and the restaurant's general manager stopped by to ask if we had any questions. I asked for his recommendations, as I was torn between two--and he subsequently suggested the very two I had been considering! I settled on the Spumone alle Fragole, but when our server returned, she delivered both it AND the Torta al Limone, saying that because I'd been torn they wanted to allow me to try both on my birthday. Again, a really nice gesture. Pastry chef Tom Wellings's creations are definitely an important part of the overall dining experience here. The Spumone ended up being my favorite, with incredible strawberry gelato mixed with chunks of Tuscan olive oil cake and topped with also exceptional, with tart lemon curd over shortbread and topped with tiny merengues, candied zest and gold flakes, served alongside a coconut sorbet. My boyfriend ordered the Cragganmore 12 year, and they brought out yet another plate with two chocolate macarons and two almond cookies as we finished up the meal. I couldn't even claim that I have that much of a sweet tooth, but I definitely think any diner here is doing themselves a disservice if they don't try at least one dessert!Chef Trabocchi was visible in the kitchen all evening, and the service was really top-notch. I didn't notice any of the hiccups that earlier reviewers noted with service. Our server, Johanna, was knowledgeable and attentive, with a great blend of friendliness and professionalism. It's a pricey dining experience, but well worth it for a special occasion.",5,2,0,0
"Robert G.","4/29/2014","Washington, DC","Fiola Mare has only been open a few months - and we've already been 4 times.  Their seafood is excellently prepared.  As with Fiola, don't miss a chance to have their lobster ravioli.  It is to die for.  I've also enjoyed their turbot, branzino, and sole.  If you select any of the 'market counter' items, they will present the fish to you and then filet it table side.  Nice touch.  The food here is incredible - all the way to the end of the meal with the complimentary chocolate macaroons and almond cookies.  Maria and Fabio Trabocchi have done a tremendous job with both the decor of this restaurant, and of course, its food!  Welcome to the Georgetown neighborhood...we hope you stay for the long term!",5,0,0,0
"Andrew C.","5/6/2014","Washington, DC","Order anything and it will be delicious I promise. Phenomenal service. They are open for brunch in Saturday and Sunday so you can get your fix earlier and cheaper than dinner.",5,1,0,0
"Steve S.","5/6/2014","Falls Church, VA","Best fine dining ever! I took my girlfriend here and she absolutely loved it! From the awesome cuisines to superb/fantastic service! I normally don't write reviews ever! But I felt strongly satisfied I wanted to let others know to definitely give this place a try! Trust me you won't regret it! Will definitely be back here soon!",5,0,0,0
"Steven K.","5/7/2014","Minneapolis, MN","Food = 5, Decor/ambiance = 5, Service = 2Despite being a Sunday night, Fiola Mare was very busy. Many walk-in parties had to wait. I was glad to have a reservation. The ambiance is gorgeous with a great view of the Potomac. The décor is beautiful, and my food was delicious. My server had attitude; he was VERY busy. A table for one - maybe he thought it was okay to ignore me. I asked for a black napkin. None was forthcoming. I had to flag him down to order a glass of wine. But the worst faux pas, I was still savoring my starter - a heavenly burrata - when my entrée arrived. ""I'm not ready for it,"" I pointed out, and sent it back. Later my server came by. He did apologize, but came up with a lame excuse for the miscue. Sorry, that didn't cut it for me.",3,1,1,1
"Sylvie S.","5/8/2014","Washington, DC","Fiola Mare is the latest installation by Fabio Trabocchi of the original Fiola and more casual Casa Luca.  Having been to Fiola, and being quite impressed, I was interested to check out Fiola Mare.  Located on the waterfront by the corner closest to the arcing water fountain (not the main waterfront fountain), it was a little difficult to locate.  Some walking was required as we circled the building looking for the entrance but who can really complain when the weather is super.  The restaurant, like Fiola, is beautiful inside and really is a statement restaurant.  It is perfect for a special date or to bring out-of-towners after carousing the waterfront or shopping G-town.  To start, we shared the hamachi sashimi appetizer.  What a cool dish!  The fish was fresh and delish and the sides and flavorings were all very well paired.  The lime was refreshing and the little cubes of what I think was pickled ginger and thinly sliced radishes made for a very interesting dish!For my entree, I decided to take the servers recommendation and try the cod.  I definitely eyeballed the lobster ravioli but decided to go with the lighter option since many said the ravioli, although awesomesauce, is on the heavy side.  The cod was perfectly cooked.  Nothing worse than overcooked rubber fish and this cod was flakey and springy with oysters and caviar and little tempura fried things.  Although not as avant garde as the appetizer we tried, it was a very well executed dish.  I take away half a star only because I cringe a little when Italian food is so expensive... I mean, pasta for $30+?  It's pasta!  Sadly, in the states if you want quality Italian food you have to pay the price for it.  Since Fiola Mare is a seafood based restaurant, I suppose you are paying for the fresh cuts of fish/catches and that really does make a huge difference in the dishes.  Overall though, in the flagship DC dining scene, the prices are par for course.  Side note to event planners or whoever needs private dining space:  They have an abundance of private rooms.",4,3,1,0
"Vishal M.","5/11/2014","Washington, DC","My wife and I have not had the pleasure of enjoying what appears to be a fine menu here due to the rudeness and ineptitude of the staff at the front of the house. On one occasion, we walked in and two individuals barely greeted us, stared at each other awkwardly when we asked for a menu, and genuinely seemed like they had no idea what they were doing or how to handle guests at a restaurant. We left. On another occasion, I called to inquire about a 5:30 pm reservation for outdoor seating. The man on the phone, sounding unpolished and unprofessional, mumbled that they didn't have any tables, although Open Table clearly indicated otherwise. Some of this can likely be attributable to early growing pains, but I expect much more. Management should take a close look at the staff and put together a quality team befitting the restaurant.",1,2,0,0
